UNIQUE_ID,MONTH,AGE,GENDER,OFFENCE,OUTCOME,LENGTH,SERIOUSNESS,PREV_CONVICTIONS,APO_GREATER_HARM_1,APO_GREATER_HARM_2,APO_GREATER_HARM_3,APO_LESSER_HARM_1,APO_HIGHER_CULP_STAT_1,APO_HIGHER_CULP_STAT_2,APO_HIGHER_CULP_STAT_3,APO_HIGHER_CULP_STAT_4,APO_HIGHER_CULP_OTHER_1,APO_HIGHER_CULP_OTHER_2,APO_HIGHER_CULP_OTHER_3,APO_HIGHER_CULP_OTHER_4,APO_HIGHER_CULP_OTHER_5,APO_HIGHER_CULP_OTHER_6,APO_HIGHER_CULP_OTHER_7,APO_LOWER_CULP_1,APO_LOWER_CULP_2,APO_LOWER_CULP_3,APO_LOWER_CULP_4,APO_LOWER_CULP_5,APO_INCREASING_SER_STAT_1,APO_INCREASING_SER_STAT_2,APO_INCREASING_SER_STAT_NONE,APO_INCREASING_SER_OTHER_1,APO_INCREASING_SER_OTHER_2,APO_INCREASING_SER_OTHER_3,APO_INCREASING_SER_OTHER_4,APO_INCREASING_SER_OTHER_5,APO_INCREASING_SER_OTHER_6,APO_INCREASING_SER_OTHER_7,APO_INCREASING_SER_OTHER_8,APO_INCREASING_SER_OTHER_9,APO_INCREASING_SER_OTHER_10,APO_INCREASING_SER_OTHER_11,APO_INCREASING_SER_OTHER_12,APO_INCREASING_SER_OTHER_13,APO_INCREASING_SER_OTHER_14,APO_INCREASING_SER_OTHER_15,APO_INCREASING_SER_OTHER_16,APO_INCREASING_SER_OTHER_17,APO_INCREASING_SER_OTHER_18,APO_INCREASING_SER_OTHER_NONE,APO_REDUCING_SER_1,APO_REDUCING_SER_2,APO_REDUCING_SER_3,APO_REDUCING_SER_4,APO_REDUCING_SER_5,APO_REDUCING_SER_6,APO_REDUCING_SER_7,APO_REDUCING_SER_8,APO_REDUCING_SER_9,APO_REDUCING_SER_10,APO_REDUCING_SER_11,APO_REDUCING_SER_NONE,GUILT_IND_POLICE,GP_STAGE,GP_DISCOUNT,GP_FIRST_OPP,APO_SECTION29_OFFENCE
sc-apo-131234-001697,January,25 to 34,Male,S.47,CO,-,3,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"On, or after, the day of trial",1-10%,No,Not Answered
sc-apo-131234-001678,January,Over 54,Female,S.47,SSO,-,2,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,Offence against those in public sector/service to public,-,-,-,-,-,-,-,-,-,-,Previous violence/threats,-,-,-,-,-,-,-,Good character/exemplary conduct,-,Serious medical conditions,-,-,-,-,-,-,No,Not Answered,Not Answered,No,Not Answered
sc-apo-131234-001853,January,25 to 34,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,None,-,Victim particularly vulnerable,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,Targeting of vulnerable victim(s),-,-,-,-,-,-,-,-,-,None stated,Location,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Single blow,-,-,-,-,-,-,-,-,-,-,No,"On, or after, the day of trial",11-20%,No,Not Answered
sc-apo-131234-001838,January,25 to 34,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,1 to 3,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,-,-,Previous violence/threats,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"On, or after, the day of trial",1-10%,No,Not Answered
sc-apo-131234-001693,January,25 to 34,Male,S.47,SSO,-,Not answered,Not answered,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of premeditation,-,-,Previous relevant convictions,-,-,-,-,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,-,-,Serious medical conditions,Isolated incident,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-001695,January,45 to 54,Male,S.47,SSO,-,1,None,-,Victim particularly vulnerable,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,Targeting of vulnerable victim(s),-,-,-,-,-,-,-,-,-,None stated,Location,Timing,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,-,-,Isolated incident,-,-,-,Sole/primary carer for dependent relatives,-,No,"Up to, or at, the PCMH",21-32%,No,Not Answered
sc-apo-131234-001683,January,25 to 34,Male,S.20,Immediate custody,Over 6 months to less than 12,2,None,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,Subordinate role in group or gang,-,Lack of premeditation,-,-,-,-,None stated,Location,-,On going effect on victim,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,-,-,-,-,-,-,-,No previous relevant convictions,Single blow,Remorse,-,-,-,Isolated incident,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-001684,January,25 to 34,Female,S.20,SSO,-,Not answered,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,Lack of premeditation,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,Single blow,-,-,-,-,-,-,-,-,-,-,No,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-001686,January,25 to 34,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,4 to 9,Injury/fear of injury which is serious in context of the offence,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,Targeting of vulnerable victim(s),-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,Gratuitous degradation,-,-,-,-,-,-,-,-,Previous violence/threats,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-001688,January,25 to 34,Male,S.47,Immediate custody,Over 18 months and up to 3 years,2,None,-,Victim particularly vulnerable,Sustained or repeated assault on same person,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,Gratuitous degradation,-,-,-,-,-,-,-,-,Previous violence/threats,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",33%,Not Answered,Not Answered
sc-apo-131234-001681,January,18 to 24,Male,S.18,Immediate custody,Over 10 years and less than life,1,1 to 3,Injury/fear of injury which is serious in context of the offence,-,Sustained or repeated assault on same person,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,Intention to cause more serious harm,Deliberately causes more harm than necessary,Targeting of vulnerable victim(s),Leading role in group or gang,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,Not Asked,Not Asked,Not Asked,Not Answered
sc-apo-131234-001682,January,35 to 44,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,4 to 9,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,-,-,-,-,-,-,-,-,-,-,Abuse of power/trust,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-001691,January,35 to 44,Male,S.20,Immediate custody,Over 18 months and up to 3 years,2,4 to 9,-,-,-,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,-,-,Presence of others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,"On, or after, the day of trial",No discount,Not Answered,Not Answered
sc-apo-131234-001680,January,45 to 54,Male,Affray,CO,-,No existing guideline,None,-,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,Greater degree of provocation,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,-,-,-,-,-,-,Age/lack of maturity affecting responsibility,-,Mental disorder/learning disability where not linked to the,-,-,No,"On, or after, the day of trial",33% or more,No,Not Asked
sc-apo-131234-001692,January,25 to 34,Female,S.18,Immediate custody,Over 5 years and up to 10 years,1,10 or more,-,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,Intention to cause more serious harm,Deliberately causes more harm than necessary,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,On going effect on victim,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,-,-,-,-,-,-,-,-,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,Isolated incident,-,-,-,-,-,No,"On, or after, the day of trial",1-10%,No,Not Answered
sc-apo-131234-001852,January,35 to 44,Male,S.18,Immediate custody,Over 5 years and up to 10 years,2,4 to 9,-,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,Intention to cause more serious harm,-,-,-,-,-,-,Lack of premeditation,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,-,-,Failure to comply with current court orders,-,-,-,-,-,-,-,-,-,-,-,-,Single blow,-,-,-,-,-,-,-,-,-,-,No,Not Asked,Not Asked,Not Asked,Not Answered
sc-apo-131234-001702,January,18 to 24,Female,S.18,Immediate custody,Over 18 months and up to 3 years,Not answered,None,Injury/fear of injury which is serious in context of the offence,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,Greater degree of provocation,-,-,-,-,-,None stated,-,-,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Isolated incident,-,-,-,Sole/primary carer for dependent relatives,-,No,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-006325,January,18 to 24,Male,Other assault and public order,SSO,-,3,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,11-20%,Not Answered,Not Answered
sc-apo-131234-006355,January,35 to 44,Male,Common assault,SSO,-,3,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",Not Answered,Yes,Not Answered
sc-apo-131234-006323,January,25 to 34,Male,Common assault,Immediate custody,Up to 3 months,1,None,Injury/fear of injury which is serious in context of the offence,-,Sustained or repeated assault on same person,None stated,-,-,-,-,Significant degree of premeditation,-,-,Deliberately causes more harm than necessary,Targeting of vulnerable victim(s),-,-,-,-,-,-,-,-,-,None stated,Location,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous violence/threats,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Yes,Not Answered,33%,Not Answered,Not Answered
sc-apo-131234-006392,January,25 to 34,Male,S.20,SSO,-,Not answered,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of premeditation,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,-,-,Good character/exemplary conduct,-,-,Isolated incident,-,-,-,-,-,No,"On, or after, the day of trial",1-10%,No,No
sc-apo-131234-006389,January,35 to 44,Male,S.4 POA,SSO,-,2,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
sc-apo-131234-006339,January,25 to 34,Male,S.47,Immediate custody,Over 6 months to less than 12,1,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,-,-,-,-,Leading role in group or gang,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",Not Answered,Yes,Not Answered
sc-apo-131234-006408,January,25 to 34,Male,S.47,Immediate custody,Over 6 months to less than 12,1,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,-,-,-,-,Leading role in group or gang,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"Up to, or at, the PCMH",Not Answered,Yes,Not Answered
sc-apo-131234-006407,January,25 to 34,Male,Affray,Immediate custody,Over 12 months and up to 18 months,2,4 to 9,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,25%,No,Not Asked
sc-apo-131234-006405,January,25 to 34,Male,S.20,Immediate custody,Over 18 months and up to 3 years,Not answered,4 to 9,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,25%,No,Not Answered
sc-apo-131234-006404,January,35 to 44,Male,S.20,Immediate custody,Over 18 months and up to 3 years,2,4 to 9,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,After the PCMH but before the day of trial,25%,No,Not Answered
sc-apo-131234-006317,January,35 to 44,Male,S.20,Immediate custody,Over 3 years and less than 4 years,1,4 to 9,Injury/fear of injury which is serious in context of the offence,-,Sustained or repeated assault on same person,None stated,-,-,-,-,Significant degree of premeditation,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,Offence committed on bail,-,Location,-,On going effect on victim,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Isolated incident,-,-,-,-,-,No,"Up to, or at, the PCMH",21-32%,No,Not Answered
sc-apo-131234-006337,January,35 to 44,Male,Common assault,Immediate custody,Over 3 months and up to 6 months,1,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Offence committed on bail,-,-,-,-,-,Presence of others,-,-,Failure to comply with current court orders,-,-,-,-,-,-,-,-,-,-,-,-,Single blow,-,-,-,-,-,-,-,-,-,-,No,Not Answered,Not Answered,Not Answered,Not Answered
sc-apo-131234-000831,January,45 to 54,Male,S.47,Immediate custody,Over 3 months and up to 6 months,3,1 to 3,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of premeditation,-,-,Previous relevant convictions,-,-,Location,Timing,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Serious medical conditions,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-000843,January,45 to 54,Male,S.47,SSO,-,1,None,-,Victim particularly vulnerable,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,Greater degree of provocation,Lack of premeditation,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,Remorse,-,Determination/demonstration to address addiction/behaviour,-,Isolated incident,-,-,-,-,-,No,"Up to, or at, the PCMH",25%,Yes,Not Answered
sc-apo-131234-000884,January,25 to 34,Male,S.47,SSO,-,2,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of premeditation,-,-,-,-,None stated,Location,-,On going effect on victim,-,Presence of others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-000875,January,25 to 34,Female,Common assault,CO,-,2,None,-,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,Greater degree of provocation,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,Single blow,Remorse,-,-,-,-,-,-,-,-,-,Yes,Not Answered,Not Answered,Not Answered,Not Answered
sc-apo-131234-000905,January,45 to 54,Male,Harassment,CO,-,Not answered,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,Failure to respond to warnings/concerns,-,-,-,Previous violence/threats,-,-,-,-,-,-,Remorse,-,-,-,-,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,No
sc-apo-131234-000899,January,45 to 54,Male,Harassment,Discharge,-,Not answered,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-000822,January,35 to 44,Male,Common assault,CO,-,3,None,-,-,-,None stated,Race/religion,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,Lack of premeditation,Mental disorder/learning disability where linked to the,Excessive self defence,-,Offence committed on bail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,-,-,-,-,Serious medical conditions,Isolated incident,-,-,Mental disorder/learning disability where not linked to the,-,-,No,After the PCMH but before the day of trial,21-32%,No,Not Answered
sc-apo-131234-000844,January,25 to 34,Female,S.47,SSO,-,Not answered,None,-,-,-,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,-,-,None stated,Location,-,-,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,-,-,-,-,-,-,-,No previous relevant convictions,Single blow,Remorse,Good character/exemplary conduct,-,-,-,-,-,-,Sole/primary carer for dependent relatives,-,Yes,"Up to, or at, the PCMH",Not Answered,Yes,Not Answered
sc-apo-131234-000824,January,25 to 34,Male,S.47,SSO,-,2,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Not Answered,Not Answered,Not Answered,Not Answered,Not Answered
sc-apo-131234-000871,January,25 to 34,Male,S.47,SSO,-,2,None,-,-,-,Injury/ fear of injury which is less serious in context of t,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of premeditation,-,-,-,-,None stated,Location,-,-,-,Presence of others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,Remorse,-,-,-,Isolated incident,-,Lapse of time not fault of offender,-,-,-,No,After the PCMH but before the day of trial,20%,No,Not Answered
