UNIQUE_ID,MONTH,AGE,GENDER,OFFENCE,OUTCOME,LENGTH,SERIOUSNESS,PREV_CONVICTIONS,APO_GREATER_HARM_1,APO_GREATER_HARM_2,APO_GREATER_HARM_3,APO_LESSER_HARM_1,APO_HIGHER_CULP_STAT_1,APO_HIGHER_CULP_STAT_2,APO_HIGHER_CULP_STAT_3,APO_HIGHER_CULP_STAT_4,APO_HIGHER_CULP_OTHER_1,APO_HIGHER_CULP_OTHER_2,APO_HIGHER_CULP_OTHER_3,APO_HIGHER_CULP_OTHER_4,APO_HIGHER_CULP_OTHER_5,APO_HIGHER_CULP_OTHER_6,APO_HIGHER_CULP_OTHER_7,APO_LOWER_CULP_1,APO_LOWER_CULP_2,APO_LOWER_CULP_3,APO_LOWER_CULP_4,APO_LOWER_CULP_5,APO_INCREASING_SER_STAT_1,APO_INCREASING_SER_STAT_2,APO_INCREASING_SER_STAT_NONE,APO_INCREASING_SER_OTHER_1,APO_INCREASING_SER_OTHER_2,APO_INCREASING_SER_OTHER_3,APO_INCREASING_SER_OTHER_4,APO_INCREASING_SER_OTHER_5,APO_INCREASING_SER_OTHER_6,APO_INCREASING_SER_OTHER_7,APO_INCREASING_SER_OTHER_8,APO_INCREASING_SER_OTHER_9,APO_INCREASING_SER_OTHER_10,APO_INCREASING_SER_OTHER_11,APO_INCREASING_SER_OTHER_12,APO_INCREASING_SER_OTHER_13,APO_INCREASING_SER_OTHER_14,APO_INCREASING_SER_OTHER_15,APO_INCREASING_SER_OTHER_16,APO_INCREASING_SER_OTHER_17,APO_INCREASING_SER_OTHER_18,APO_INCREASING_SER_OTHER_NONE,APO_REDUCING_SER_1,APO_REDUCING_SER_2,APO_REDUCING_SER_3,APO_REDUCING_SER_4,APO_REDUCING_SER_5,APO_REDUCING_SER_6,APO_REDUCING_SER_7,APO_REDUCING_SER_8,APO_REDUCING_SER_9,APO_REDUCING_SER_10,APO_REDUCING_SER_11,APO_REDUCING_SER_NONE,GUILT_IND_POLICE,GP_STAGE,GP_DISCOUNT,GP_FIRST_OPP,APO_SECTION29_OFFENCE
sc-apo-131234-000078,January,18 to 24,Male,S.47,Immediate custody,Over 12 months and up to 18 months,Not answered,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Don't know,"Up to, or at, the PCMH",Not Answered,No,Not Answered
sc-apo-131234-000077,January,25 to 34,Male,Common assault,SSO,-,Not answered,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,Failure to comply with current court orders,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,Don't know,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-000100,January,35 to 44,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,None,Injury/fear of injury which is serious in context of the offence,Victim particularly vulnerable,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,Location,-,-,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,Abuse of power/trust,-,-,-,-,-,-,-,-,Remorse,-,-,-,Isolated incident,-,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
sc-apo-131234-000082,January,35 to 44,Male,S.47,Immediate custody,Over 12 months and up to 18 months,1,None,-,Victim particularly vulnerable,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,Not Asked,Not Asked,Not Asked,Not Answered
sc-apo-131234-001685,January,45 to 54,Male,S.47,Immediate custody,Over 18 months and up to 3 years,1,4 to 9,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,-,-,Deliberately causes more harm than necessary,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,Timing,-,-,-,-,-,-,-,-,-,Offender was under the influence of alcohol/drugs,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No,"On, or after, the day of trial",1-10%,No,Not Answered
sc-apo-131234-001687,January,25 to 34,Male,Assault on a police constable,Immediate custody,Up to 3 months,No existing guideline,Not answered,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Previous relevant convictions,-,-,Location,-,-,-,Presence of others,-,-,Failure to comply with current court orders,-,-,-,Offender was under the influence of alcohol/drugs,-,-,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,Isolated incident,-,-,-,-,-,No,"Up to, or at, the PCMH",33%,Not Answered,Not Asked
sc-apo-131234-001849,January,18 to 24,Male,S.4 POA,CO,-,No existing guideline,None,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,-,Remorse,Good character/exemplary conduct,Determination/demonstration to address addiction/behaviour,-,Isolated incident,Age/lack of maturity affecting responsibility,-,-,-,-,Yes,"Up to, or at, the PCMH",33%,Not Answered,Not Answered
sc-apo-131234-001696,January,25 to 34,Male,S.20,SSO,-,2,None,Injury/fear of injury which is serious in context of the offence,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,Lack of premeditation,-,-,-,-,None stated,Location,Timing,On going effect on victim,-,-,-,-,-,-,-,-,-,Abuse of power/trust,-,-,-,-,-,-,No previous relevant convictions,Single blow,Remorse,Good character/exemplary conduct,Determination/demonstration to address addiction/behaviour,-,Isolated incident,Age/lack of maturity affecting responsibility,Lapse of time not fault of offender,-,-,-,No,"Up to, or at, the PCMH",21-32%,No,Not Answered
sc-apo-131234-001698,January,18 to 24,Male,S.20,Immediate custody,Over 18 months and up to 3 years,1,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,-,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No previous relevant convictions,-,-,-,-,-,-,-,-,-,-,-,Not Answered,Not Asked,Not Asked,Not Asked,Not Answered
sc-apo-131234-001699,January,18 to 24,Male,S.47,SSO,-,1,None,-,-,Sustained or repeated assault on same person,None stated,-,-,-,-,-,Threatened/actual use of weapon/equivalent,-,-,-,Leading role in group or gang,-,-,-,-,-,-,-,-,None stated,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,No Factors stated,No previous relevant convictions,Single blow,Remorse,Good character/exemplary conduct,-,-,-,-,Lapse of time not fault of offender,-,-,-,Yes,"Up to, or at, the PCMH",33%,Yes,Not Answered
