Sentencing.court,Step1HigherCulpA,Step1HigherCulpC,Step1HigherCulpD,Step1HigherCulpF,Step1HigherCulpG,Step1HigherCulpI,Step1HigherCulpJ,Step1HigherHarmA,Step1HigherHarmB,Step1HigherHarmC,Step1LowerCulpA,Step1LowerCulpB,Step1LowerCulpC,Step1LowerCulpD,Step1LowerCulpE,Step1LowerHarmA,Aggravating.3,Aggravating.5,Aggravating.9,Aggravating.19,Aggravating.25,Aggravating.26,Aggravating.28,Aggravating.37,Aggravating.44,Aggravating.45,Aggravating.54,Aggravating.55,Aggravating.70,Aggravating.72,Mitigating.3,Mitigating.6,Mitigating.16,Mitigating.20,Mitigating.22,Mitigating.24,Mitigating.25,Mitigating.29,Mitigating.33,Mitigating.36,Mitigating.39,pleafirst,disorder,affray,GBH,intent,common,custody
69,,,,,,,,serious injury,,,,,,,,,,,,victim forced to leave home,,failure to comply with court orders,,,,,,,,,,,,,,,,,,genuine remorse,,,,,,,common assault,
69,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,location,,,,,,,,,,,lapse of time,,,,,genuine remorse,,,,,,,common assault,immediate custody
69,,,,,,,,,,personally vulnerable,lack of premeditation,,,,,,,against public worker,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,early guilty plea,,,,,common assault,
69,,,,,,,,,,,,,,,,less serious injury,,,,,failure to respond to warnings,failure to comply with court orders,,,,,,,,,,,,,,,,,,,,,,,,,common assault,immediate custody
69,,,,,,vulnerable victim,,,,personally vulnerable,lack of premeditation,,,,,,abuse of trust,,,,,,,,,,,,,,,,,isolated incident,,,,no previous convictions,,genuine remorse,,early guilty plea,,,,,common assault,
69,,,,,,,,,,personally vulnerable,,,,,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,,,,common assault,
69,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,location,on licence,,,,,,,,,isolated incident,,,,no previous convictions,,genuine remorse,,,,,,grievous bodily harm with intent,,immediate custody
69,,,,,,,use of weapon,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,ongoing effect,,,,,,,,,,,,no previous convictions,,,,,,,,grievous bodily harm with intent,,immediate custody
69,,,,,,,use of weapon,,,,,,provocation,selfdefence,,,,,,,,,,,,,,previous violence,,,,,,,,,,,,,single blow,,,,,grievous bodily harm with intent,,immediate custody
69,,,,,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,ongoing effect,,,,,,,,,,,,,,genuine remorse,,,,,,grievous bodily harm with intent,,immediate custody
69,,,,,,,,serious injury,,,,,provocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
69,,,,,,,use of weapon,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,,,isolated incident,,,,,,genuine remorse,,,,,,grievous bodily harm with intent,,immediate custody
69,,,,,,,use of weapon,,,,,,provocation,,,less serious injury,,,,,,,,,,,,,,,addressing addiction,lack of maturity,,isolated incident,,,,no previous convictions,,genuine remorse,single blow,early guilty plea,,,,grievous bodily harm with intent,,immediate custody
69,,,,premeditation,,,,serious injury,repeated assault,,,,,,,,,,,,,,,location,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,,,,,,,,,,,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,,,,isolated incident,,,,,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,
69,,,,,,,,serious injury,,,lack of premeditation,,provocation,,,,,,,,,,,location,,,,,,,,,,,,,,,,,single blow,,,,grievous bodily harm,,,immediate custody
69,,,,,,,,serious injury,repeated assault,,,,,,subordinate role gang,,,,,,,,,location,,ongoing effect,,,timing of the offence,,,,good character,,,,,no previous convictions,,genuine remorse,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,use of weapon,serious injury,,,,,provocation,,,,,,,,,,,location,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,single blow,,,,grievous bodily harm,,,immediate custody
69,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,
69,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,,serious injury,,,lack of premeditation,,provocation,,,,,,,,,,,location,,ongoing effect,,,timing of the offence,,,,,,,,,,,genuine remorse,single blow,,,,grievous bodily harm,,,
69,,,,,,vulnerable victim,use of weapon,,repeated assault,,lack of premeditation,,,selfdefence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,use of weapon,,,,lack of premeditation,,,,,,,,,,,,,location,,ongoing effect,presence of others,,,under influence drugs/alcohol,,,,,,,,no previous convictions,,,single blow,,,,grievous bodily harm,,,immediate custody
69,,,,,,,,,repeated assault,personally vulnerable,lack of premeditation,,,,,,,,,,,,,location,,,,,timing of the offence,under influence drugs/alcohol,,,,,,,,no previous convictions,,genuine remorse,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,,serious injury,,,lack of premeditation,,provocation,,,,,,,,,,,location,,,presence of others,,,,,,,,,,,,,genuine remorse,single blow,,,,grievous bodily harm,,,
69,,,,,,,,serious injury,,,lack of premeditation,mental disorder (related to the offence),,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,,grievous bodily harm,,,
69,,,,,,,,,,,,,provocation,,,less serious injury,,,,,,,,location,,,,,,,,,,isolated incident,,,,no previous convictions,,genuine remorse,single blow,,,,grievous bodily harm,,,
69,,,,,,,,serious injury,,,,,,,,,,,,,,,,location,,,,,,,,,,,,,,,,,single blow,,,,grievous bodily harm,,,immediate custody
69,,,,premeditation,,,,,repeated assault,personally vulnerable,,,,,,,,,,,failure to respond to warnings,,,,,ongoing effect,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,use of weapon,,,,,,provocation,,,less serious injury,,,,,,,,location,,ongoing effect,presence of others,,,,,,,,,,,,,,,early guilty plea,,,grievous bodily harm,,,immediate custody
69,,intent more harm,,,,,,serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,early guilty plea,,,grievous bodily harm,,,immediate custody
69,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,location,,,presence of others,,,under influence drugs/alcohol,,,,isolated incident,,,,,,,single blow,,,,grievous bodily harm,,,immediate custody
69,deliberate harm,,leading role gang,,,,,serious injury,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
69,,,,,,,use of weapon,,,,lack of premeditation,,provocation,,,,,,,,,,,,,,,,,,,,good character,isolated incident,,,,no previous convictions,primary carer,,,,,,grievous bodily harm,,,
69,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,,grievous bodily harm,,,immediate custody
22,,,leading role gang,,,,,,,,,,,,,,,,,,,,,location,,ongoing effect,,,,,,lack of maturity,,,,,,,,,,early guilty plea,,affray,,,,immediate custody
22,,,,,,,use of weapon,,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,addressing addiction,,,,,,,no previous convictions,,genuine remorse,,,,affray,,,,
22,,,,,,,,,,,,,,,subordinate role gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
22,,,,premeditation,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
22,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,early guilty plea,,affray,,,,
22,,,,,,vulnerable victim,,serious injury,,personally vulnerable,,,,,,,,,,,,,,location,,ongoing effect,,,timing of the offence,under influence drugs/alcohol,,,good character,,,,,,,genuine remorse,,,,affray,,,,immediate custody
22,,,,,,,,,,,,,provocation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
22,,,,,,,,,,,,mental disorder (related to the offence),,,,,,against public worker,,,,,,,,,,,,,,,good character,,,,mental disability (general),,,genuine remorse,,early guilty plea,,affray,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,affray,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,location,,,,,,,,,,,,,,no previous convictions,,,,,,,,,,
22,,,,,,,,,,,,,provocation,,,less serious injury,,,,,,,,,,,,,,,addressing addiction,,,,,,,,,,,early guilty plea,,,,,,
22,,,,,,,,serious injury,,,,,provocation,,,,,,,,,,,location,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
22,,,,,,,use of weapon,,,,lack of premeditation,,,,,,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,,,,isolated incident,,,,,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,immediate custody
22,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,ongoing effect,,,,,,lack of maturity,good character,isolated incident,,,,no previous convictions,,genuine remorse,,early guilty plea,,,grievous bodily harm,,,
22,,,,,,,,serious injury,,,,mental disorder (related to the offence),,,,,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,genuine remorse,,early guilty plea,,,grievous bodily harm,,,immediate custody
22,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,single blow,,,,grievous bodily harm,,,
22,,,,,,,use of weapon,,,,,,,,,,,,,,,failure to comply with court orders,,location,on licence,ongoing effect,,,timing of the offence,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
22,,,,,,,,,,,,,,,,,,,,,,failure to comply with court orders,,location,on licence,,,,timing of the offence,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
22,,,,,,,,,,,,,,,,,,,,,,failure to comply with court orders,,location,on licence,,,,timing of the offence,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
22,,,,,,,,serious injury,repeated assault,,,,,,,,,,,,,failure to comply with court orders,,location,,ongoing effect,,,,under influence drugs/alcohol,,lack of maturity,,,,,mental disability (general),,,,,,,,,grievous bodily harm with intent,,immediate custody
22,,,,,,,use of weapon,,repeated assault,,,,,,,,,,,,,failure to comply with court orders,,location,on licence,ongoing effect,,,timing of the offence,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
22,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,,,,common assault,
23,,,,,,,use of weapon,serious injury,repeated assault,personally vulnerable,,,,,,,,,,,,failure to comply with court orders,,,,,,,,,,,,,,,,no previous convictions,,,,early guilty plea,,,,,,immediate custody
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good character,,,,,,,genuine remorse,single blow,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,,single blow,,,,,,,
23,,,,,,,,,,,,,provocation,selfdefence,,,,,,,,,,,,,,,,,,,good character,,,,,no previous convictions,,genuine remorse,,,,,,,,
23,,,,,,,,,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
23,,,,premeditation,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,failure to comply with court orders,,location,,ongoing effect,,,timing of the offence,,,,,,,,,,,genuine remorse,,,,,,,,immediate custody
23,,,,,,,use of weapon,,,,,,,,,,,,,,,failure to comply with court orders,,location,,ongoing effect,,,,,,lack of maturity,,,,,mental disability (general),,,genuine remorse,,,,,,,,
23,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,lapse of time,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
23,,,,,,vulnerable victim,,,,personally vulnerable,,,,,,,abuse of trust,,,,,,,,,,presence of others,,,,,,,,,,,,,,,,,,,,,
23,,,,premeditation,,,,serious injury,,,,,,,,,,,,,failure to respond to warnings,failure to comply with court orders,,location,,,presence of others,,,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
23,,,leading role gang,,,,use of weapon,,,,,,,,,less serious injury,,,,,,failure to comply with court orders,,location,,,presence of others,,timing of the offence,,,,,,,,,,,,,,,,,,,immediate custody
23,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,lapse of time,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,less serious injury,,,on bail,,,,,,,,,,,,,lack of maturity,,isolated incident,,,,no previous convictions,,genuine remorse,single blow,early guilty plea,,,,,,
23,,,,,,,,,,,,,,,,less serious injury,,,,,,failure to comply with court orders,,,,,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,single blow,early guilty plea,,,,,,immediate custody
23,,,,,,,,serious injury,repeated assault,,,,,,,,,,,,,,,,,,,,,,,lack of maturity,,,lapse of time,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,less serious injury,,,,,,,,location,,,presence of others,,,,addressing addiction,lack of maturity,,,,,,,,,,early guilty plea,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
23,,,,,,,use of weapon,serious injury,,,,mental disorder (related to the offence),,,,,,against public worker,,,,,,,,,presence of others,,,under influence drugs/alcohol,addressing addiction,,,,,medical condition,,,,genuine remorse,,early guilty plea,,affray,,,,immediate custody
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good character,,,medical condition,mental disability (general),no previous convictions,,,,,,affray,,,,
23,,,,,,,,,,,,,,,,,,,,,,,gratuitous degradation,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,affray,,,,
23,,,leading role gang,,,,,,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,immediate custody
23,,,,,,,,,,,lack of premeditation,,,selfdefence,,less serious injury,,,,,,,,,,,,,,,,,,isolated incident,,,,,,,single blow,,,affray,,,,
23,,,,,,,use of weapon,,,personally vulnerable,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,affray,,,,
23,,,,,,,use of weapon,,,personally vulnerable,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,affray,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,,early guilty plea,,affray,,,,immediate custody
23,,,,,,,,,repeated assault,personally vulnerable,,,,,,,,,,,,,,location,,ongoing effect,,,timing of the offence,,,,,,,,,,,genuine remorse,,early guilty plea,,,,,common assault,
23,,,,,,,,,,,,,,,,,,,,,,failure to comply with court orders,,location,,ongoing effect,,,,under influence drugs/alcohol,addressing addiction,,,,,medical condition,,,,genuine remorse,,,,,,,common assault,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,common assault,immediate custody
23,,,,,,,,,,,,,,selfdefence,,,,,,,,,,,,,presence of others,,,,,,,,,,,,,,,,,,,,common assault,
23,,,,,,,use of weapon,,,,,,provocation,,,less serious injury,,,,,,,,location,,,,,,,addressing addiction,,,,,,,,,genuine remorse,single blow,early guilty plea,,,,,common assault,
23,,intent more harm,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,lack of maturity,,,,,,,,genuine remorse,,early guilty plea,,,,grievous bodily harm with intent,,immediate custody
23,,intent more harm,leading role gang,,,vulnerable victim,use of weapon,serious injury,,,,mental disorder (related to the offence),,,,,,,,,,,,,,ongoing effect,,,,under influence drugs/alcohol,,,,,,,mental disability (general),,,,,,,,,grievous bodily harm with intent,,immediate custody
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,good character,,,,,,,,single blow,,,,,grievous bodily harm with intent,,immediate custody
23,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm with intent,,immediate custody
23,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,isolated incident,,,,no previous convictions,,genuine remorse,single blow,,,,grievous bodily harm,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,genuine remorse,single blow,,,,grievous bodily harm,,,immediate custody
23,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,,,previous violence,,,,,,,,,,,,,single blow,,,,grievous bodily harm,,,immediate custody
23,,,,premeditation,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,,,,,,,,,lack of maturity,,,,,,,,genuine remorse,,,,,,grievous bodily harm with intent,,immediate custody
23,deliberate harm,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,,,,,,lack of maturity,,,,,,,,genuine remorse,,early guilty plea,,,,grievous bodily harm with intent,,immediate custody
23,,,,,,,,,,,lack of premeditation,,,,subordinate role gang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
23,,,,,,,use of weapon,,,,,,,,,,,,,,,,,location,,,,,,,,,,,,,,,,genuine remorse,,,,,grievous bodily harm,,,immediate custody
23,,,,,,,,,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,isolated incident,,,mental disability (general),no previous convictions,,genuine remorse,single blow,,,,grievous bodily harm,,,
23,,,,premeditation,,,,serious injury,,,,,,,,,,,,,,,,,,ongoing effect,,,timing of the offence,under influence drugs/alcohol,,,,,,,,,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,immediate custody
23,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
23,,,,,,,use of weapon,,,,lack of premeditation,,,selfdefence,,less serious injury,,,,,,,,,,,,,,,,,good character,isolated incident,,,,no previous convictions,primary carer,genuine remorse,,,,,grievous bodily harm,,,
24,,intent more harm,leading role gang,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,lack of maturity,,,,,,,,,,early guilty plea,,,,,,immediate custody
24,,intent more harm,leading role gang,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,lack of maturity,,,,,,no previous convictions,,,,early guilty plea,,,,,,immediate custody
24,,,,,,,,,,,lack of premeditation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
24,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,single blow,,,,,grievous bodily harm with intent,,immediate custody
25,,,,,,,use of weapon,,,,,mental disorder (related to the offence),,,,less serious injury,,,,,,,,,,,,,,,,,,,,,mental disability (general),no previous convictions,,genuine remorse,single blow,early guilty plea,,,,,,immediate custody
25,deliberate harm,,,,,,,,,,lack of premeditation,,,,,,,,,,,,,location,,,,,timing of the offence,under influence drugs/alcohol,,lack of maturity,,,,,,no previous convictions,,,single blow,early guilty plea,,,,,,
25,deliberate harm,,,premeditation,,,,,repeated assault,,,,,,subordinate role gang,,,,,,,,,location,,,,,timing of the offence,,,,,,,,,,,,,,,,,,,immediate custody
25,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,early guilty plea,,,,,,immediate custody
25,deliberate harm,intent more harm,leading role gang,,,vulnerable victim,,serious injury,repeated assault,,,,,,,,,,,,,,,location,,,,,timing of the offence,under influence drugs/alcohol,,,,isolated incident,,,,no previous convictions,,genuine remorse,,,,,,,,immediate custody
25,deliberate harm,,,premeditation,,,use of weapon,,repeated assault,personally vulnerable,,,,,subordinate role gang,,,,,,,,,location,,,,,,under influence drugs/alcohol,,,,isolated incident,,,,no previous convictions,,,,,,,,,,immediate custody
25,,,,,,,use of weapon,,repeated assault,,,mental disorder (related to the offence),provocation,,,,,,,,,,,,,,,,,,addressing addiction,,,,,,,no previous convictions,,genuine remorse,,early guilty plea,,,,,,
25,,,,,,,use of weapon,,repeated assault,,,,,,,,,,,,,,,location,,,,,,,,lack of maturity,,,,,,,,,,early guilty plea,,,,,,immediate custody
25,deliberate harm,,,premeditation,,,,,repeated assault,,,,,,,,,,on bail,,,,gratuitous degradation,,,,,,,,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,,early guilty plea,,,,,,
25,,,,,,,,,,,lack of premeditation,,,,,,,,,,,,,location,,,presence of others,,timing of the offence,,,,,,,,,,,,single blow,early guilty plea,,,,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lapse of time,,,no previous convictions,,,,,,,,,,
25,,,,,,vulnerable victim,use of weapon,,,,,,,,,,,,,,,,,location,,,,,timing of the offence,under influence drugs/alcohol,,,good character,,,,,no previous convictions,,genuine remorse,,early guilty plea,,,,,,
25,,,,,,vulnerable victim,use of weapon,,,,,,,,,,,,,,,,,,,,presence of others,,,,,,,,,,,no previous convictions,,,,,,,,,,immediate custody
25,deliberate harm,,,,,,use of weapon,serious injury,repeated assault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,immediate custody
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,lack of maturity,good character,,,,,no previous convictions,,genuine remorse,,early guilty plea,,,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,lack of maturity,,,,,,,,genuine remorse,,,,,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,lack of maturity,good character,isolated incident,,,,no previous convictions,,genuine remorse,,early guilty plea,,,,,,
25,,,,,,,use of weapon,serious injury,,,,,,,,,,,,,,,,,,,,previous violence,,,,,,,,,,,,,,,,,,,,immediate custody
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,,,,,
25,,,,,,,,,,,,,,,subordinate role gang,less serious injury,,,,,,,,,,,,,,,,lack of maturity,good character,,,,,no previous convictions,,genuine remorse,,,,,,,,
25,,,,,,vulnerable victim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mental disability (general),,,genuine remorse,,,,,,,,
25,,,,,,,use of weapon,serious injury,,,,,provocation,,,less serious injury,,,,,,,,,,,,,,,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,,,,affray,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,addressing addiction,,,,,,,,,,,early guilty plea,,affray,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,affray,,,,
25,,,,,,,,,,,,,,,,less serious injury,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,addressing addiction,lack of maturity,,,,,,,,,,early guilty plea,,affray,,,,
25,,,,,,,,,,personally vulnerable,,mental disorder (related to the offence),,,,,,,,,,failure to comply with court orders,,,,,,previous violence,,,,lack of maturity,,,,,mental disability (general),,,,,early guilty plea,,affray,,,,immediate custody
25,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,lack of maturity,,isolated incident,,medical condition,,no previous convictions,,,,early guilty plea,,affray,,,,
25,deliberate harm,,,,,,,serious injury,repeated assault,,lack of premeditation,,,,subordinate role gang,,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,,lack of maturity,,,,,,,,,,early guilty plea,,affray,,,,immediate custody
25,deliberate harm,intent more harm,,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,,,,,,,,,,,,,affray,,,,
25,,,leading role gang,,,,,,,,,,,,,less serious injury,,,,,,,,,,,presence of others,,,under influence drugs/alcohol,addressing addiction,,,,,,,,,genuine remorse,,,,affray,,,,
25,deliberate harm,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,under influence drugs/alcohol,addressing addiction,,,,,,,,,genuine remorse,,,,,,grievous bodily harm with intent,,immediate custody
25,,,,,,,,,,,,,,,,,,,,,,,,,,ongoing effect,presence of others,,,,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,,early guilty plea,,,grievous bodily harm,,,
25,deliberate harm,,leading role gang,,,vulnerable victim,use of weapon,,repeated assault,,,,,,,less serious injury,,,,,,,,,,,presence of others,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
25,,,leading role gang,,,,use of weapon,serious injury,,,lack of premeditation,,,,,,,,,,,,,location,,ongoing effect,presence of others,,,under influence drugs/alcohol,,,good character,,,,,,,genuine remorse,single blow,,,,grievous bodily harm,,,immediate custody
25,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,good character,,,,,no previous convictions,,,,early guilty plea,,,grievous bodily harm,,,immediate custody
25,,,,,,,use of weapon,,,,,,,,,,,,,,,,,,,,presence of others,,,,,,,,,,,,,,,early guilty plea,,,grievous bodily harm,,,immediate custody
25,,,,,,,,serious injury,,,lack of premeditation,,,,,,,,,,,,,location,,ongoing effect,presence of others,,,,,,good character,isolated incident,,,,no previous convictions,,genuine remorse,single blow,early guilty plea,,,grievous bodily harm,,,immediate custody
25,,,,,,,use of weapon,,,,,,provocation,selfdefence,,less serious injury,,,,,,,,,,,,,,,,lack of maturity,good character,isolated incident,,,,no previous convictions,,genuine remorse,single blow,,,,grievous bodily harm,,,
25,deliberate harm,,,,,,,serious injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
25,,,,,,,use of weapon,,,,lack of premeditation,,provocation,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,genuine remorse,single blow,,,,grievous bodily harm,,,
25,deliberate harm,,leading role gang,,,vulnerable victim,use of weapon,,repeated assault,,,,,,,less serious injury,,,,,,,,,,,presence of others,,,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
