Sentencing.court,Step1HigherCulpA,Step1HigherCulpC,Step1HigherCulpD,Step1HigherCulpF,Step1HigherCulpG,Step1HigherCulpI,Step1HigherCulpJ,Step1HigherHarmA,Step1HigherHarmB,Step1HigherHarmC,Step1LowerCulpA,Step1LowerCulpB,Step1LowerCulpC,Step1LowerCulpD,Step1LowerCulpE,Step1LowerHarmA,Aggravating.3,Aggravating.5,Aggravating.9,Aggravating.19,Aggravating.25,Aggravating.26,Aggravating.28,Aggravating.37,Aggravating.44,Aggravating.45,Aggravating.54,Aggravating.55,Aggravating.70,Aggravating.72,Mitigating.3,Mitigating.6,Mitigating.16,Mitigating.20,Mitigating.22,Mitigating.24,Mitigating.25,Mitigating.29,Mitigating.33,Mitigating.36,Mitigating.39,pleafirst,disorder,affray,GBH,intent,common,custody
1,,,,,,,use of weapon,serious injury,,,lack of premeditation,,provocation,,,,,,,,,,,,,,,,,under influence drugs/alcohol,,lack of maturity,good character,isolated incident,,,,no previous convictions,,,single blow,,,,grievous bodily harm,,,immediate custody
1,,,,,,,,,,,,,,,,less serious injury,,,,,failure to respond to warnings,,,location,,,,,timing of the offence,,,,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,,early guilty plea,,,grievous bodily harm,,,immediate custody
1,,,,premeditation,,,,,repeated assault,,,mental disorder (related to the offence),provocation,,,less serious injury,,,,,,failure to comply with court orders,,,,,,previous violence,,,,lack of maturity,,,,,,,,,,,,,grievous bodily harm,,,immediate custody
1,,,,,,,use of weapon,,,,,,,,,,,,,,failure to respond to warnings,,,,,,presence of others,,,,,,,,,,,,,genuine remorse,,,,,,,common assault,
7,,,,,,,,,,,,,,,subordinate role gang,,,,,,,failure to comply with court orders,,,,,presence of others,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,lack of premeditation,,provocation,selfdefence,,less serious injury,,,,,,,,,,,,,,,,,,isolated incident,,,,,,genuine remorse,single blow,,,,,,,
7,,,leading role gang,,,,use of weapon,,repeated assault,personally vulnerable,,,,,,,,,,,,,,,,,presence of others,,timing of the offence,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,,,,lack of premeditation,,provocation,selfdefence,,less serious injury,,,,,,,,,,,,,,,addressing addiction,,good character,,,,,no previous convictions,,genuine remorse,single blow,,,,,,,
7,,,,,,,,,,,,,,selfdefence,,less serious injury,,,,,,,,,,,,,,,,,,isolated incident,,,,,,genuine remorse,,early guilty plea,,,,,,
7,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,no previous convictions,primary carer,genuine remorse,,early guilty plea,,,,,,
7,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,,,,,,,no previous convictions,,genuine remorse,,,,,,,,
7,,,,,,,use of weapon,,repeated assault,personally vulnerable,,,,,,,,,,,,,,,,,presence of others,,timing of the offence,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,isolated incident,,,,,,,,,,,,,,
7,,,,,,,,,,,lack of premeditation,,provocation,selfdefence,,less serious injury,,against public worker,,,,,,location,,,,,,,,,,,,,,,,genuine remorse,,,,,,,,
7,deliberate harm,,,,,,,serious injury,,,,mental disorder (related to the offence),,,,,,,,,,,,,,,presence of others,,,,,,,,,medical condition,mental disability (general),,,genuine remorse,,,,,,,,immediate custody
7,,,,,,vulnerable victim,use of weapon,,repeated assault,personally vulnerable,,,,,,,,,on bail,,,,,,,ongoing effect,,previous violence,,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,vulnerable victim,,,,personally vulnerable,,,,,,,abuse of trust,,,,,,,,,,,,,,,,,,,,,,primary carer,genuine remorse,,early guilty plea,,,,,,
7,,,,,,,use of weapon,,,,,,,,,less serious injury,,,,,,,,location,,,,,,under influence drugs/alcohol,,,,,,,,,,,,,,,,,,immediate custody
7,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,,,,,,,,,,,,,,,,,isolated incident,,,,,,genuine remorse,single blow,,,,,,,
7,,,,,,,,,,,,,provocation,,,less serious injury,,,,,,,,location,,,,,,,,lack of maturity,,,,,,,primary carer,genuine remorse,,early guilty plea,,,,,,
7,,,,,,,use of weapon,,,,lack of premeditation,,,,,less serious injury,,,,,,,,location,,,,,,under influence drugs/alcohol,,,,isolated incident,,medical condition,,,,genuine remorse,,,,,,,,
7,,,,,,,,,,,lack of premeditation,,,,,less serious injury,,against public worker,,,,,,location,,,presence of others,,,under influence drugs/alcohol,,,,,,,,,,,single blow,,,,,,,
